"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"10338375",5.375,0.337035167378739,0.44302299082436,0.760762250174867,0.446799085782542,0.999999712223997
"10343237",5.375,-0.33703469695041,0.443022995041079,-0.76076118107404,0.446799724461988,0.999999712223997
"10563963",5.375,-0.337034696950409,0.443022995041079,-0.760761181074039,0.446799724461989,0.999999712223997
"10563969",5.375,-0.337034696950409,0.443022995041079,-0.760761181074039,0.446799724461989,0.999999712223997
"10563977",5.375,-0.337034696950409,0.443022995041079,-0.760761181074039,0.446799724461989,0.999999712223997
"10563979",5.375,-0.337034696950409,0.443022995041079,-0.760761181074039,0.446799724461989,0.999999712223997
"10563983",5.375,-0.337034696950409,0.443022995041079,-0.760761181074039,0.446799724461989,0.999999712223997
"10563985",5.375,-0.337034696950409,0.443022995041079,-0.760761181074039,0.446799724461989,0.999999712223997
"10342452",3.5,0.415037648208848,0.550938083304549,0.753329023325881,0.45125222228971,0.999999712223997
"10338694",3.5,0.415037648208847,0.550938083304549,0.753329023325879,0.451252222289712,0.999999712223997
"10340723",3.5,-0.415037114361888,0.550938098361349,-0.753328033759745,0.451252816791253,0.999999712223997
"10339452",3.5,-0.415037113130267,0.550938098489615,-0.753328031348861,0.45125281823964,0.999999712223997
"10342034",3.5,-0.415037113130252,0.550938098489613,-0.753328031348837,0.451252818239655,0.999999712223997
"10354299",3.5,-0.415037113130252,0.550938098489613,-0.753328031348837,0.451252818239655,0.999999712223997
"10436758",3.5,-0.415037113130252,0.550938098489613,-0.753328031348837,0.451252818239655,0.999999712223997
"10407801",3.5,-0.415037113130251,0.550938098489613,-0.753328031348834,0.451252818239657,0.999999712223997
"10499870",8,0.271302191333107,0.362269243660234,0.748896562655914,0.453919552264175,0.999999712223997
"10477495",8,0.27130219077689,0.362269243565394,0.748896561316601,0.453919553071477,0.999999712223997
"10343655",5.625,0.321928280649564,0.432808436758425,0.743812396682207,0.456989979340385,0.999999712223997
"10341158",5.625,-0.321927820689234,0.432808440453737,-0.743811327597353,0.456990626206208,0.999999712223997
"10339688",5.625,-0.321927814469183,0.432808440868407,-0.743811312513343,0.456990635333018,0.999999712223997
"10445428",5.625,-0.321927814469182,0.432808440868407,-0.743811312513341,0.45699063533302,0.999999712223997
"10563945",5.625,-0.321927813071786,0.432808440692725,-0.74381130958659,0.456990637103895,0.999999712223997
"10531415",8.25,0.263034574028423,0.356643727939142,0.737527547584708,0.460801597193706,0.999999712223997
"10343645",3.75,0.38702328600957,0.531543603614277,0.728112018238903,0.46654501749558,0.999999712223997
"10343680",3.75,0.38702328600957,0.531543603614277,0.728112018238901,0.466545017495581,0.999999712223997
"10339909",3.75,0.387023286009569,0.531543603614277,0.7281120182389,0.466545017495582,0.999999712223997
"10343133",3.75,0.387023286009569,0.531543603614277,0.7281120182389,0.466545017495582,0.999999712223997
"10341347",3.75,0.387023286009569,0.531543603614277,0.7281120182389,0.466545017495582,0.999999712223997
"10341006",3.75,0.387023285932696,0.531543603602327,0.728112018110646,0.466545017574086,0.999999712223997
"10343455",3.75,-0.387022758184985,0.531543615620304,-0.728111008789627,0.466545635376436,0.999999712223997
"10338185",3.75,-0.387022758184985,0.531543615620304,-0.728111008789627,0.466545635376436,0.999999712223997
"10340195",3.75,-0.387022758184984,0.531543615620304,-0.728111008789626,0.466545635376437,0.999999712223997
"10471745",3.75,-0.387022758184984,0.531543615620304,-0.728111008789625,0.466545635376438,0.999999712223997
"10603911",3.75,-0.387022758184984,0.531543615620304,-0.728111008789625,0.466545635376438,0.999999712223997
"10563927",3.75,-0.387022758184984,0.531543615620304,-0.728111008789624,0.466545635376438,0.999999712223997
"10380285",5.875,0.308122477266728,0.423279344942033,0.727941207027063,0.466649576985894,0.999999712223997
"10379820",8.75,0.247927679129543,0.346143944489435,0.716256005851087,0.473833286609614,0.999999712223997
"10565609",9,0.241008262347467,0.341233360182216,0.706285757696053,0.480010448599591,0.999999712223997
"10338537",4,0.362570252255115,0.514101813818628,0.70524989896851,0.480654733204332,0.999999712223997
"10342337",4,0.362570252255115,0.514101813818628,0.70524989896851,0.480654733204332,0.999999712223997
"10339107",4,0.362570252255115,0.514101813818628,0.70524989896851,0.480654733204332,0.999999712223997
"10339188",4,0.362570252255115,0.514101813818629,0.705249898968509,0.480654733204332,0.999999712223997
"10340493",4,0.362570252255115,0.514101813818628,0.705249898968509,0.480654733204332,0.999999712223997
"10342699",4,0.362570252255115,0.514101813818628,0.705249898968509,0.480654733204332,0.999999712223997
"10344397",4,-0.362569732645298,0.514101823432495,-0.705248875066295,0.480655370285204,0.999999712223997
"10340813",4,-0.362569732645298,0.514101823432495,-0.705248875066295,0.480655370285204,0.999999712223997
"10341662",4,-0.362569732645298,0.514101823432495,-0.705248875066295,0.480655370285204,0.999999712223997
"10343654",4,-0.362569732645298,0.514101823432495,-0.705248875066295,0.480655370285204,0.999999712223997
"10339534",4,-0.362569732645298,0.514101823432495,-0.705248875066294,0.480655370285205,0.999999712223997
"10341886",4,-0.362569732645298,0.514101823432495,-0.705248875066294,0.480655370285205,0.999999712223997
"10563949",4,-0.362569732645297,0.514101823432495,-0.705248875066293,0.480655370285205,0.999999712223997
"10430186",6.375,0.283793147591264,0.405991211085124,0.69901303240715,0.484543886338703,0.999999712223997
"10577973",6.375,0.283793147591264,0.405991211085124,0.69901303240715,0.484543886338703,0.999999712223997
"10481272",6.375,0.283793141335945,0.405991210423148,0.699013018139382,0.48454389525519,0.999999712223997
"10563975",6.375,-0.283792710021209,0.405991213198794,-0.699011950985868,0.484544562161476,0.999999712223997
"10563981",6.375,-0.283792710021209,0.405991213198794,-0.699011950985868,0.484544562161476,0.999999712223997
"10563987",6.375,-0.283792710021209,0.405991213198794,-0.699011950985868,0.484544562161476,0.999999712223997
"10564009",6.375,-0.283792710021209,0.405991213198794,-0.699011950985868,0.484544562161476,0.999999712223997
"10564005",6.375,-0.283792703068522,0.405991212661697,-0.699011934785395,0.484544572285794,0.999999712223997
"10424113",6.625,0.273018677467071,0.398114317228727,0.685779600612089,0.492852101955527,0.999999712223997
"10402409",6.625,0.273018675311846,0.398114317583949,0.685779594586611,0.492852105755746,0.999999712223997
"10497079",6.625,0.273018675311845,0.398114317583949,0.685779594586609,0.492852105755748,0.999999712223997
"10563935",6.625,-0.273018244852301,0.39811431928002,-0.685778510418938,0.492852789531517,0.999999712223997
"10564013",6.625,-0.273018244852301,0.39811431928002,-0.685778510418938,0.492852789531517,0.999999712223997
"10564017",6.625,-0.273018244852301,0.39811431928002,-0.685778510418938,0.492852789531517,0.999999712223997
"10564033",6.625,-0.273018244852301,0.39811431928002,-0.685778510418938,0.492852789531517,0.999999712223997
"10564045",6.625,-0.273018244852301,0.39811431928002,-0.685778510418938,0.492852789531517,0.999999712223997
"10564047",6.625,-0.273018244852301,0.39811431928002,-0.685778510418938,0.492852789531517,0.999999712223997
"10564135",6.625,-0.273018244852301,0.39811431928002,-0.685778510418938,0.492852789531517,0.999999712223997
"10564143",6.625,-0.273018244852301,0.39811431928002,-0.685778510418938,0.492852789531517,0.999999712223997
"10564147",6.625,-0.273018244852301,0.39811431928002,-0.685778510418938,0.492852789531517,0.999999712223997
"10339006",2.375,0.459431672345665,0.670362582810285,0.685348025272595,0.4931243331995,0.999999712223997
"10341669",2.375,0.459431672345665,0.670362582810285,0.685348025272595,0.4931243331995,0.999999712223997
"10342788",2.375,0.459431672345665,0.670362582810285,0.685348025272595,0.4931243331995,0.999999712223997
"10368285",2.375,0.459431672345665,0.670362582810285,0.685348025272595,0.4931243331995,0.999999712223997
"10340146",2.375,0.459431672345665,0.670362582810285,0.685348025272594,0.4931243331995,0.999999712223997
"10340290",2.375,0.459431672345665,0.670362582810285,0.685348025272594,0.4931243331995,0.999999712223997
"10344609",2.375,0.459431672345665,0.670362582810285,0.685348025272594,0.4931243331995,0.999999712223997
"10339828",2.375,-0.45943113602795,0.670362622395114,-0.685347184761682,0.493124863459744,0.999999712223997
"10343806",2.375,-0.45943113602795,0.670362622395114,-0.685347184761682,0.493124863459744,0.999999712223997
